Mois;Type de train;Ponctualité;Nombre de trains;Nombre trains avec moins de 6 min. de retard;Minutes de retard
2016-01;P;84.85041374920432;7855;6665;22695
2016-02;P;87.09314111949544;8879;7733;22372
2016-02;S;92.473172964451;19663;18183;33508
2016-03;IC;89.78940650925335;50144;45024;112516
2016-03;P;87.54200950283926;8629;7554;20811
2016-04;P;87.07509881422925;7590;6609;18195
2016-05;IC;87.48982420628809;45451;39765;120543
2016-05;L;91.49684729964362;21886;20025;38615
2016-06;IC;84.97957628732883;47249;40152;146798
2016-07;S;95.4998357604292;18266;17444;22720
2016-08;P;89.2151218576089;5211;4649;11657
2016-10;L;89.1706409212516;25791;22998;52954
2016-11;IC;79.7977687711528;47866;38196;184817
2016-11;L;86.56132790679116;25062;21694;62924
2016-11;P;76.96239503468419;8217;6324;32958
2016-12;P;84.29931317026148;8299;6996;23014
2016-12;S;90.63037539208743;19766;17914;38606
2017-01;L;93.23162067160273;26742;24932;38013
2017-03;L;92.37431814831196;27132;25063;41904
2017-03;S;91.1556383970177;21460;19562;41330
2017-05;IC;84.73709053148305;52965;44881;155905
2017-05;P;83.95241835933116;8911;7481;26339
2017-06;P;84.97122870359924;8863;7531;25163
2017-06;S;90.28182222002863;20261;18292;42268
2017-08;IC;91.21326850268099;52033;47461;96741
2017-08;L;95.3551708700194;26804;25559;28013
2017-09;IC;85.17675017328449;50495;43010;145847
2017-09;P;84.47432762836186;8998;7601;26247
2017-11;IC;79.18115333892818;50046;39627;189587
2017-11;L;86.530931871574;25540;22100;64180
2017-12;P;79.16018662519441;7716;6108;29096
2018-01;IC;86.41274238227147;50540;43673;133496
2018-02;IC;84.68770837963993;44990;38101;129886
2018-02;S;91.13752476279846;19182;17482;35629
2018-03;L;91.79117966020003;33196;30471;55835
2018-03;S;90.38603620243812;21656;19574;41921
2018-04;L;91.79746188025445;31283;28717;51829
2018-07;P;85.20879120879121;4550;3877;12741
2018-08;IC;90.24062851615705;50659;45715;100951
2018-08;S;93.78392659845318;20817;19523;31917
2018-09;L;85.59640152740923;30902;26451;77967
2018-09;P;82.04273897058823;8704;7141;28469
2018-10;IC;83.18337905500029;52127;43361;159188
2018-10;P;82.70350271336952;10135;8382;31331
2018-11;IC;82.17706882727771;47394;38947;155392
2018-11;L;86.93389680837643;31708;27565;74312
2018-12;IC;89.40463154479458;49314;44089;101195
2019-01;L;91.1951051735998;55242;50378;100985
2019-01;P;85.8816339003769;9819;8432;26071
2019-02;P;88.22429906542057;9137;8065;21247
2019-03;P;89.84988567452034;10059;9038;21454
2019-04;IC;89.95043940000001;48022;43196;98562
2019-04;L;92.0877496;52741;48568;86425
2019-04;P;89.7029946;8148;7309;17959
2019-05;L;90.68758340000001;53928;48906;102845
2019-05;P;88.5839966;9548;8458;22509
2019-08;IC;93.02024291497976;49400;45952;75583
2019-08;P;93.55502771179731;6315;5908;9191
2019-10;P;87.45331673483906;11246;9835;29798
2019-11;P;82.23299900804585;9073;7461;29139
2020-01;L;93.32996462860031;55412;51716;79572
2020-02;L;91.85449413978284;51022;46866;86243
2020-03;P;90.6254534900595;6891;6245;12938
2020-05;IC;94.57951794547942;47505;44930;59418
2020-06;IC;93.42511127212504;48305;45129;68826
2020-06;L;95.15703351807865;53046;50477;61028
2020-06;P;95.2271186440678;7375;7023;8555
2020-07;L;96.51524691913286;55585;53648;52938
2020-07;P;95.61811505507956;4085;3906;4170
2020-08;L;95.57809930336124;54117;51724;59334
2020-09;IC;91.41376757957069;48636;44460;87047
2020-09;L;93.78288689657701;54543;51152;77053
2020-09;P;92.0935064935065;9625;8864;16575
2020-10;ICT;87.8048780487805;82;72;191
2020-10;L;92.98138869005011;55880;51958;86665
2020-11;ICT;100.0;1;1;0
2020-12;IC;94.42658947998802;50095;47303;63920
2021-01;L;95.4118157495119;55316;52778;62777
2021-03;IC;91.55266144931;50217;45975;89626
2021-05;P;92.94528231334913;8023;7457;12573
2021-06;IC;91.20690698565751;49573;45214;92641
2021-06;ICT;88.53503184713377;157;139;454
2021-06;L;93.67335865436787;55290;51792;81369
2021-06;P;91.15932642487047;9264;8445;17117
