Année;Entité;Entité;Entité;Mois;Nombre de minutes de retard sur les trains voyageurs;Attribution en %
2017;NMBS;SNCB;SNCB;2017-01;38202;35.9670099986819
2017;NMBS;SNCB;SNCB;2017-02;21525;20.08716101457661
2017;NMBS;SNCB;SNCB;2017-08;30218;33.55393191054654
2017;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2017-06;6151;4.107786830506211
2017;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2017-09;4459;3.3912871528094675
2017;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2017-10;6969;4.385142490388427
2017;Infrabel;Infrabel;Infrabel;2017-01;22585;21.263675221722185
2017;Infrabel;Infrabel;Infrabel;2017-03;23115;19.946670808739775
2017;Infrabel;Infrabel;Infrabel;2017-09;32408;24.647865900033462
2017;Derden;Tiers;Third parties;2017-01;36798;34.64515035682678
2017;Derden;Tiers;Third parties;2017-02;32047;29.906306575337354
2017;Derden;Tiers;Third parties;2017-05;45967;32.912090272507264
2017;Derden;Tiers;Third parties;2017-06;69092;46.141311606785095
2017;Derden;Tiers;Third parties;2017-07;36043;35.088590342679126
2017;Derden;Tiers;Third parties;2017-09;56650;43.0850902010891
2017;Derden;Tiers;Third parties;2017-12;64865;45.02606534731815
2017;Toe te wijzen;A attribuer;To be imputed;2017-03;1667;1.4385074729902316
2017;Toe te wijzen;A attribuer;To be imputed;2017-05;2188;1.5665945899503102
2017;Toe te wijzen;A attribuer;To be imputed;2017-06;220;0.14692133030586352
2017;Toe te wijzen;A attribuer;To be imputed;2017-08;186;0.2065335672566568
2017;Toe te wijzen;A attribuer;To be imputed;2017-12;2414;1.6756790526235414
2018;NMBS;SNCB;SNCB;2018-01;40845;31.24808739824959
2018;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2018-01;5105;3.9055327743435955
2018;Toe te wijzen;A attribuer;To be imputed;2018-01;809;0.6189179264336863
2018;NMBS;SNCB;SNCB;2018-02;40673;30.060234285503117
2018;Infrabel;Infrabel;Infrabel;2018-02;39762;29.38694061564613
2018;Derden;Tiers;Third parties;2018-02;51372;37.96755478363697
2018;Toe te wijzen;A attribuer;To be imputed;2018-02;402;0.2971065370828868
2018;Toe te wijzen;A attribuer;To be imputed;2018-04;512;0.3883848651272871
2018;NMBS;SNCB;SNCB;2018-05;52660;29.5426112616479
2018;Derden;Tiers;Third parties;2018-06;84058;48.280892809961976
2018;Toe te wijzen;A attribuer;To be imputed;2018-07;164;0.1119866708547861
2018;NMBS;SNCB;SNCB;2018-08;32693;29.70524632466517
2018;Derden;Tiers;Third parties;2018-08;47155;42.845590506823676
2018;NMBS;SNCB;SNCB;2018-09;52993;34.58553872460401
2018;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2018-09;2960;1.9318248565815839
2018;Derden;Tiers;Third parties;2018-11;56121;38.355761804848385
2018;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2018-12;5693;5.437751924656618
2019;Infrabel;Infrabel;Infrabel;2019-01;22683;16.71653450461339
2019;Derden;Tiers;Third parties;2019-01;52922;39.00156236181941
2019;Derden;Tiers;Third parties;2019-02;41239;36.91215696102826
2019;NMBS;SNCB;SNCB;2019-03;31279;29.03785811099352
2019;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2019-03;5463;5.071575781206484
2019;Derden;Tiers;Third parties;2019-03;45424;42.16936816502349
2019;NMBS;SNCB;SNCB;2019-04;28520;25.33894841587149
2019;Infrabel;Infrabel;Infrabel;2019-04;32463;28.84215576523269
2019;Derden;Tiers;Third parties;2019-04;46434;41.25486433178741
2019;Infrabel;Infrabel;Infrabel;2019-05;26817;18.33077001948119
2019;Derden;Tiers;Third parties;2019-05;78258;53.493284117707375
2019;Infrabel;Infrabel;Infrabel;2019-06;41798;32.73960585268039
2019;Derden;Tiers;Third parties;2019-06;39991;31.324215935081618
2019;Toe te wijzen;A attribuer;To be imputed;2019-07;503;0.377556764871458
2019;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2019-07;14633;10.98367423531619
2019;Derden;Tiers;Third parties;2019-07;51773;38.861324826421466
2019;Toe te wijzen;A attribuer;To be imputed;2019-08;343;0.3865311366043859
2019;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2019-08;3428;3.8630575401744456
2019;Derden;Tiers;Third parties;2019-09;43876;37.452198852772476
2019;Toe te wijzen;A attribuer;To be imputed;2019-10;228;0.1575793598684074
2020;Derden;Tiers;Third parties;2020-12;26949;39.06105055658627
2020;Infrabel;Infrabel;Infrabel;2020-02;23736;16.70478777684723
2020;Infrabel;Infrabel;Infrabel;2020-04;5348;19.96490835106582
2020;Infrabel;Infrabel;Infrabel;2020-07;20251;27.38064655696921
2020;NMBS;SNCB;SNCB;2020-01;32992;32.373027710181326
2020;NMBS;SNCB;SNCB;2020-02;30350;21.35955127347967
2020;NMBS;SNCB;SNCB;2020-04;9302;34.72579982827491
2020;NMBS;SNCB;SNCB;2020-06;23976;25.470886318003632
2020;NMBS;SNCB;SNCB;2020-07;23547;31.83704925568881
2020;NMBS;SNCB;SNCB;2020-09;34847;32.0916140202236
2020;NMBS;SNCB;SNCB;2020-10;33637;31.716562161142797
2020;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2020-05;3702;4.637354378053363
2020;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2020-09;3942;3.630302248908699
2020;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2020-10;7750;7.307529112253077
2020;Toe te wijzen;A attribuer;To be imputed;2020-02;78;0.05489439866001365
2020;Toe te wijzen;A attribuer;To be imputed;2020-05;284;0.35575598146060383
2020;Toe te wijzen;A attribuer;To be imputed;2020-11;198;0.2059860803345713
2020;Toe te wijzen;A attribuer;To be imputed;2020-12;134;0.1942254174397032
2021;Derden;Tiers;Third parties;2021-01;30740;34.57467747922033
2021;Derden;Tiers;Third parties;2021-02;52745;40.50639716159553
2021;Derden;Tiers;Third parties;2021-05;35272;39.25348053017572
2021;Derden;Tiers;Third parties;2021-12;38500;37.04345148751106
2021;Infrabel;Infrabel;Infrabel;2021-01;20376;22.917814844391458
2021;Infrabel;Infrabel;Infrabel;2021-02;27301;20.96625554855853
2021;Infrabel;Infrabel;Infrabel;2021-04;16531;20.23947990254294
2021;Infrabel;Infrabel;Infrabel;2021-07;19910;19.780241615005558
2021;Infrabel;Infrabel;Infrabel;2021-08;22121;23.85991025972905
2021;Infrabel;Infrabel;Infrabel;2021-09;35382;25.00653751828738
2021;Infrabel;Infrabel;Infrabel;2021-11;21377;19.15107101583007
2021;Infrabel;Infrabel;Infrabel;2021-12;20778;19.99191779240272
2021;NMBS;SNCB;SNCB;2021-01;34024;38.26834178767054
2021;NMBS;SNCB;SNCB;2021-05;23029;25.62849861446521
2021;NMBS;SNCB;SNCB;2021-06;40344;30.895529245991032
2021;NMBS;SNCB;SNCB;2021-07;24278;24.119774280718488
2021;NMBS;SNCB;SNCB;2021-09;39406;27.850534662982103
2021;NMBS;SNCB;SNCB;2021-10;46923;34.08516387726639
2021;NMBS;SNCB;SNCB;2021-11;41004;36.73436478145185
2021;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2021-04;3696;4.525141716762369
2021;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2021-07;4188;4.16070577014783
2021;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2021-09;4484;3.1691061622294
2021;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2021-10;2978;2.163238028823803
2021;Toe te wijzen;A attribuer;To be imputed;2021-04;191;0.2338479620945921
2021;Toe te wijzen;A attribuer;To be imputed;2021-05;323;0.359460030938046
2021;Toe te wijzen;A attribuer;To be imputed;2021-09;191;0.134990918150271
2021;Toe te wijzen;A attribuer;To be imputed;2021-12;122;0.1173844436747104
2022;Infrabel;Infrabel;Infrabel;2022-02;22909;16.563995777478922
2022;Infrabel;Infrabel;Infrabel;2022-08;21944;17.99986875779251
2022;NMBS;SNCB;SNCB;2022-03;45504;29.2833607907743
2022;NMBS;SNCB;SNCB;2022-04;38508;28.707962754497267
2022;NMBS;SNCB;SNCB;2022-06;65053;33.85021256224666
2022;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2022-01;3792;3.9940594685120225
2022;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2022-03;8726;5.615475700164745
2022;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2022-05;7944;4.809240716300808
2022;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2022-06;6567;3.4171267412152213
2022;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2022-09;6417;3.84214686018106
2022;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2022-10;4235;2.174940169886708
2022;Toe te wijzen;A attribuer;To be imputed;2022-03;1188;0.764518121911038
2022;Toe te wijzen;A attribuer;To be imputed;2022-05;114;0.06901478369313847
2022;Toe te wijzen;A attribuer;To be imputed;2022-06;273;0.1420550632483258
2022;Toe te wijzen;A attribuer;To be imputed;2022-07;293;0.20088857197707258
2022;Toe te wijzen;A attribuer;To be imputed;2022-09;145;0.08681802941035589
2023;Derden;Tiers;Third parties;2023-02;68072;35.29405664926298
2023;Derden;Tiers;Third parties;2023-04;61182;38.565107219847974
2023;Derden;Tiers;Third parties;2023-05;72357;38.18674069304736
2023;Derden;Tiers;Third parties;2023-10;68127;39.026276444001454
2023;Derden;Tiers;Third parties;2023-12;58886;39.94871238229628
2023;Infrabel;Infrabel;Infrabel;2023-02;47375;24.56304991419135
2023;Infrabel;Infrabel;Infrabel;2023-04;26454;16.674861011308202
2023;Infrabel;Infrabel;Infrabel;2023-08;26769;21.28053676336145
2023;Infrabel;Infrabel;Infrabel;2023-10;32876;18.83288364925788
2023;NMBS;SNCB;SNCB;2023-03;62439;36.07168235151389
2023;NMBS;SNCB;SNCB;2023-04;65309;41.1664964764318
2023;NMBS;SNCB;SNCB;2023-08;41093;32.66767892774523
2023;NMBS;SNCB;SNCB;2023-09;65641;39.70686088292583
2023;NMBS;SNCB;SNCB;2023-10;63977;36.64896572662645
2023;NMBS;SNCB;SNCB;2023-12;57626;39.093918753900844
2023;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2023-01;6604;4.362733116209628
2023;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2023-04;4968;3.1315003214704444
2023;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2023-09;6075;3.674824878715656
2023;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2023-10;9518;5.45234780915064
2023;Toe te wijzen;A attribuer;To be imputed;2023-04;733;0.46203497094159324
2023;Toe te wijzen;A attribuer;To be imputed;2023-05;501;0.2644050622222691
2023;Toe te wijzen;A attribuer;To be imputed;2023-09;642;0.3883518637260002
2023;Toe te wijzen;A attribuer;To be imputed;2023-12;209;0.141787197090988
2024;Infrabel;Infrabel;Infrabel;2024-02;33805;22.1535578069911
2024;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2024-01;7302;3.52268615674072
2024;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2024-03;5875;4.230027072173262
2024;Toe te wijzen;A attribuer;To be imputed;2024-01;76;0.03666449574257664
