FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_190319152d2_-7e62,POINT (3.202 51.348),6418,2024-06-10T22:00:00,1012.76,13.03,70.47,0,7.05,335.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e61,POINT (4.358 50.797),6447,2024-06-10T22:00:00,1002.2,10.07,85.61,0,,270.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e60,POINT (5.255 50.194),6472,2024-06-10T22:00:00,980.05,7.67,81.62,0,2.31,279.1,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e5f,POINT (4.358 50.797),6447,2024-06-10T22:10:00,1002.2,9.85,86.7,0,,268.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e5e,POINT (3.202 51.348),6418,2024-06-10T22:10:00,1012.94,12.93,70.4,0,6.94,325,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e5d,POINT (5.255 50.194),6472,2024-06-10T22:10:00,980.16,7.92,82.61,0,2.28,276.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e5c,POINT (4.358 50.797),6447,2024-06-10T22:20:00,1002.32,9.74,87.2,0,,254.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e5b,POINT (3.202 51.348),6418,2024-06-10T22:20:00,1013,12.81,69.7,0,6.92,322.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e5a,POINT (5.255 50.194),6472,2024-06-10T22:20:00,980.18,8.07,83.16,0,2.45,271.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e59,POINT (4.358 50.797),6447,2024-06-10T22:30:00,1002.32,9.76,88,0,,256.2,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e58,POINT (5.255 50.194),6472,2024-06-10T22:30:00,980.06,7.97,83.51,0,2.6,281.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e57,POINT (3.202 51.348),6418,2024-06-10T22:30:00,1013.01,12.81,69.11,0,6.61,327.8,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e56,POINT (4.358 50.797),6447,2024-06-10T22:40:00,1002.32,9.81,88.33,0,,248.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e55,POINT (5.255 50.194),6472,2024-06-10T22:40:00,980.18,7.88,83.7,0,2.55,280,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e54,POINT (3.202 51.348),6418,2024-06-10T22:40:00,1013.12,12.78,68.63,0,6.83,321,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e53,POINT (4.358 50.797),6447,2024-06-10T22:50:00,1002.44,9.84,88.62,0,,245.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e52,POINT (5.255 50.194),6472,2024-06-10T22:50:00,980.19,7.52,83.77,0,2.43,271.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e51,POINT (3.202 51.348),6418,2024-06-10T22:50:00,1013.12,12.73,67.51,0,6.11,314.8,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e50,POINT (3.202 51.348),6418,2024-06-10T23:00:00,1013.17,12.7,66.65,0,5.96,311.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4f,POINT (5.255 50.194),6472,2024-06-10T23:00:00,980.3,7.3,84.17,0,2.5,270.1,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4e,POINT (4.358 50.797),6447,2024-06-10T23:00:00,1002.56,9.78,88.93,0,,243.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4d,POINT (3.202 51.348),6418,2024-06-10T23:10:00,1013.24,12.69,65.81,0,6.56,320,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4c,POINT (4.358 50.797),6447,2024-06-10T23:10:00,1002.56,9.72,89.09,0,,250.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4b,POINT (5.255 50.194),6472,2024-06-10T23:10:00,980.42,7.13,84.69,0,2.71,265.1,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4a,POINT (5.255 50.194),6472,2024-06-10T23:20:00,980.42,7.17,85.44,0,2.49,253.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
