Mois;Type de train;Instant;Instant;Instant;Ponctualité;Nombre de trains;Nombre de train avec moins de 6 min. de retard;Minutes de retard
2018-08;L;Daluren;Heures creuses;Off-peak hours;91.01948936674368;16881;15365;30206.0
2018-08;P;Daluren;Heures creuses;Off-peak hours;88.18807339449542;872;769;1828.0
2018-09;IC;Daluren;Heures creuses;Off-peak hours;82.85384075618111;24227;20073;75986.0
2018-09;L;Daluren;Heures creuses;Off-peak hours;84.46726572528883;15580;13160;41223.0
2018-09;S;Weekends;Weekends;Weekends;89.63545389563974;4197;3762;8977.0
2018-10;IC;Daluren;Heures creuses;Off-peak hours;83.74632507349853;28572;23928;85148.0
2018-10;L;Avondspits;Pointe du soir;Evening peak hour;82.36724766923389;4934;4064;14957.0
2018-10;P;Weekends;Weekends;Weekends;82.8125;64;53;209.0
2018-10;P;Daluren;Heures creuses;Off-peak hours;83.21727019498607;1436;1195;4425.0
2018-10;S;Ochtendspits;Pointe du matin;Morning peak hour;80.57057057057057;3330;2683;10746.0
2018-10;S;Avondspits;Pointe du soir;Evening peak hour;81.73961527739057;3587;2932;11636.0
2018-10;S;Weekends;Weekends;Weekends;92.09985315712188;3405;3136;6153.0
2018-11;IC;Ochtendspits;Pointe du matin;Morning peak hour;75.10845986984816;5532;4155;23454.0
2018-11;IC;Weekends;Weekends;Weekends;83.81220657276995;10650;8926;31827.0
2018-11;L;Avondspits;Pointe du soir;Evening peak hour;83.22207387627948;4494;3740;12847.0
2018-11;L;Daluren;Heures creuses;Off-peak hours;87.6787546008568;16573;14531;36533.0
2018-11;P;Avondspits;Pointe du soir;Evening peak hour;80.27305656171636;3589;2881;12318.0
2018-11;S;Ochtendspits;Pointe du matin;Morning peak hour;76.24254473161034;3018;2301;11242.0
2018-12;IC;Ochtendspits;Pointe du matin;Morning peak hour;83.32712369597616;5368;4473;15857.0
2018-12;IC;Weekends;Weekends;Weekends;92.42216282597703;13843;12794;21657.0
2018-12;L;Ochtendspits;Pointe du matin;Morning peak hour;86.0738255033557;6556;5643;16758.0
2018-12;L;Avondspits;Pointe du soir;Evening peak hour;87.60330578512396;7260;6360;16784.0
2018-12;L;Weekends;Weekends;Weekends;94.63429256594725;13344;12628;16741.0
2018-12;P;Ochtendspits;Pointe du matin;Morning peak hour;86.10666666666667;3750;3229;9982.0
2018-12;P;Avondspits;Pointe du soir;Evening peak hour;84.59672528805336;3298;2790;9123.0
2018-12;P;Weekends;Weekends;Weekends;91.48936170212765;47;43;210.0
2018-12;P;Daluren;Heures creuses;Off-peak hours;87.61904761904762;1155;1012;2813.0
2019-01;IC;Ochtendspits;Pointe du matin;Morning peak hour;83.03372710152371;5841;4850;17336.0
2019-01;P;Avondspits;Pointe du soir;Evening peak hour;85.94622019279554;3942;3388;10262.0
2019-02;IC;Ochtendspits;Pointe du matin;Morning peak hour;86.38862559241706;5275;4557;13477.0
2019-02;IC;Weekends;Weekends;Weekends;91.32648066568771;10215;9329;16805.0
2019-02;IC;Daluren;Heures creuses;Off-peak hours;89.88749734663554;23555;21173;48222.0
2019-02;L;Weekends;Weekends;Weekends;95.19367268302575;9862;9388;11160.0
2019-02;P;Avondspits;Pointe du soir;Evening peak hour;87.02290076335878;3680;3204;9040.0
2019-02;P;Daluren;Heures creuses;Off-peak hours;89.28571428571429;1220;1090;2555.0
2019-03;IC;Ochtendspits;Pointe du matin;Morning peak hour;89.5877754;5628;5042;11942.0
2019-03;L;Ochtendspits;Pointe du matin;Morning peak hour;91.2298387;6944;6335;13216.0
2019-03;L;Daluren;Heures creuses;Off-peak hours;92.3525832;27931;25795;44000.0
2019-03;P;Ochtendspits;Pointe du matin;Morning peak hour;91.43167030000001;4610;4215;8891.0
2019-03;P;Avondspits;Pointe du soir;Evening peak hour;88.7565153;4029;3576;8965.0
2019-04;IC;Avondspits;Pointe du soir;Evening peak hour;86.1565894;6169;5315;17020.0
2019-04;L;Ochtendspits;Pointe du matin;Morning peak hour;91.7613228;6955;6382;11768.0
2019-04;L;Daluren;Heures creuses;Off-peak hours;91.9194107;27696;25458;46146.0
2019-04;P;Ochtendspits;Pointe du matin;Morning peak hour;91.8091561;3626;3329;6790.0
2019-04;P;Avondspits;Pointe du soir;Evening peak hour;87.1619521;3217;2804;8262.0
2019-05;IC;Ochtendspits;Pointe du matin;Morning peak hour;87.30302479999999;5521;4820;15167.0
2019-05;IC;Avondspits;Pointe du soir;Evening peak hour;80.9314444;6141;4970;22326.0
2019-05;IC;Weekends;Weekends;Weekends;92.7650204;12716;11796;19723.0
2019-05;IC;Daluren;Heures creuses;Off-peak hours;87.561753;25100;21978;64056.0
2019-05;ICT;Daluren;Heures creuses;Off-peak hours;100.0;12;12;4.0
2019-05;L;Weekends;Weekends;Weekends;94.5755109;12038;11385;15257.0
2019-05;L;Daluren;Heures creuses;Off-peak hours;90.6150044;27512;24930;52128.0
