Mois;Nombre de trains ICE ayant circulé sur le réseau;Nombre de ICE à l'heure pour leur départ de Bruxelles-Midi (et passage de la frontière pour sortir de Belgique);Ponctualité au départ de Bruxelles-Midi et au passage de la frontière (sortie de Belgique);Nombre de ICE à l'heure lors de leur arrivée à Bruxelles-Midi (et au passage de la frontière pour entrer en Belgique);Ponctualité à l'arrivée à Bruxelles-Midi et au passage de la frontière (entrée en Belgique)
2016-02;226;202;88.59649122807018;173;75.87719298245614
2016-05;228;208;91.22807017543859;184;80.7017543859649
2016-06;218;209;94.57013574660633;170;76.92307692307693
2016-12;236;209;89.31623931623932;164;70.08547008547008
2017-03;236;211;89.7872340425532;166;70.63829787234043
2017-04;210;181;89.60396039603961;152;75.24752475247524
2017-07;232;217;93.53448275862068;174;75.0
2018-04;342;299;87.42690058479532;222;64.91228070175438
2018-09;344;267;77.61627906976744;149;43.31395348837209
2018-10;328;257;77.64350453172206;106;32.02416918429003
2018-11;352;286;81.25;184;52.27272727272727
2018-12;344;300;85.95988538681948;239;68.48137535816619
2019-03;346;292;83.7;232;66.5
2019-09;212;180;84.90566037735849;137;64.62264150943396
2019-10;216;182;81.25;127;56.69642857142857
2019-11;172;141;80.11363636363636;86;48.86363636363636
2020-02;204;171;81.81818181818183;124;59.33014354066985
2020-06;224;202;89.38053097345133;171;75.66371681415929
2020-07;220;209;93.72197309417041;192;86.09865470852019
2020-08;220;190;85.97285067873304;152;68.77828054298642
2020-09;212;200;93.89671361502347;172;80.75117370892019
2021-04;222;206;91.96428571428571;136;60.71428571428571
2021-09;226;185;81.14035087719299;148;64.91228070175438
2021-10;226;177;77.29257641921397;129;56.33187772925764
2022-03;366;317;85.90785907859079;240;65.04065040650406
2022-09;304;253;83.4983498349835;210;69.3069306930693
2022-11;322;250;77.63975155279503;176;54.6583850931677
2022-12;342;258;75.21865889212827;174;50.72886297376093
2023-01;356;290;81.46067415730337;216;60.67415730337079
2023-04;344;267;77.16763005780348;192;55.49132947976878
2023-05;314;230;73.01587301587301;147;46.666666666666664
