Mois;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivant avec moins de 6 min. de retard à Bruxelles;Minutes de retard
2016-01;Daluren;Heures creuses;Off-peak hours;91.9523672332661;10413;9575;19702
2016-03;Ochtendspits;Pointe du matin;Morning peak hour;81.04409528636593;3946;3198;13853
2016-03;Weekends;Weekends;Weekends;93.89867841409692;4540;4263;6335
2016-03;Daluren;Heures creuses;Off-peak hours;92.66301910485245;11149;10331;20208
2016-04;Daluren;Heures creuses;Off-peak hours;92.77767476358243;10786;10007;18093
2016-06;Daluren;Heures creuses;Off-peak hours;87.89483463396508;10764;9461;28923
2016-07;Daluren;Heures creuses;Off-peak hours;93.61386597460375;10789;10100;17056
2016-08;Ochtendspits;Pointe du matin;Morning peak hour;90.53050397877985;3770;3413;9021
2016-08;Daluren;Heures creuses;Off-peak hours;92.91432464656788;11742;10910;19232
2016-09;Daluren;Heures creuses;Off-peak hours;93.73099019939168;11836;11094;19197
2016-10;Ochtendspits;Pointe du matin;Morning peak hour;75.03867973182052;3878;2910;15712
2016-10;Weekends;Weekends;Weekends;88.52818163712408;5021;4445;11215
2016-10;Daluren;Heures creuses;Off-peak hours;89.72987429794063;11217;10065;28476
2016-11;Avondspits;Pointe du soir;Evening peak hour;81.23569794050344;2622;2130;9922
2016-11;Weekends;Weekends;Weekends;88.05659592176445;4806;4232;11551
2016-12;Avondspits;Pointe du soir;Evening peak hour;89.66700995537246;2913;2612;7271
2016-12;Weekends;Weekends;Weekends;94.68822170900692;4330;4100;5894
2017-01;Daluren;Heures creuses;Off-peak hours;92.8552362309814;11239;10436;18592
2017-02;Ochtendspits;Pointe du matin;Morning peak hour;83.82916053019146;3395;2846;9783
2017-03;Ochtendspits;Pointe du matin;Morning peak hour;82.74347713769052;3871;3203;12348
2017-03;Avondspits;Pointe du soir;Evening peak hour;91.5060437765436;3061;2801;6434
2017-03;Weekends;Weekends;Weekends;87.79795686719638;3524;3094;8063
2017-04;Ochtendspits;Pointe du matin;Morning peak hour;88.06800618238022;3235;2849;7709
2017-05;Avondspits;Pointe du soir;Evening peak hour;83.53658536585365;2788;2329;9552
2017-05;Weekends;Weekends;Weekends;90.86835929165777;4687;4259;8826
2017-06;Weekends;Weekends;Weekends;91.77646524307133;4402;4040;8168
2017-07;Avondspits;Pointe du soir;Evening peak hour;90.42627533193571;2862;2588;6452
2017-08;Ochtendspits;Pointe du matin;Morning peak hour;88.67008362557324;3707;3287;8272
2017-09;Weekends;Weekends;Weekends;86.72227231740307;4436;3847;11162
2017-10;Daluren;Heures creuses;Off-peak hours;85.77266922094509;11745;10074;35220
2017-11;Ochtendspits;Pointe du matin;Morning peak hour;69.70878835153405;3846;2681;19430
2017-12;Ochtendspits;Pointe du matin;Morning peak hour;73.94888705688376;3639;2691;15863
2017-12;Daluren;Heures creuses;Off-peak hours;87.03841157914269;10778;9381;29682
2018-01;Ochtendspits;Pointe du matin;Morning peak hour;75.48483341621083;4022;3036;17393
2018-01;Avondspits;Pointe du soir;Evening peak hour;89.00288554023726;3119;2776;8150
2018-02;Daluren;Heures creuses;Off-peak hours;89.1962862233893;10663;9511;24823
2018-03;Ochtendspits;Pointe du matin;Morning peak hour;80.52452646915978;4118;3316;14038
2018-03;Daluren;Heures creuses;Off-peak hours;90.52744886975242;12077;10933;24540
2018-04;Ochtendspits;Pointe du matin;Morning peak hour;84.60044395116537;3604;3049;10497
2018-06;Avondspits;Pointe du soir;Evening peak hour;81.32678132678133;2849;2317;11827
2018-06;Weekends;Weekends;Weekends;90.5114401076716;4458;4035;8858
2018-07;Ochtendspits;Pointe du matin;Morning peak hour;87.54896474538333;3574;3129;10397
2018-07;Weekends;Weekends;Weekends;93.66883116883116;4928;4616;7238
2018-07;Daluren;Heures creuses;Off-peak hours;88.93598233995586;11325;10072;27213
2018-08;Avondspits;Pointe du soir;Evening peak hour;90.31843036346092;3109;2808;6419
2018-09;Weekends;Weekends;Weekends;84.53791469194313;5064;4281;14550
2018-10;Avondspits;Pointe du soir;Evening peak hour;86.72211953173135;3246;2815;9157
2018-11;Ochtendspits;Pointe du matin;Morning peak hour;67.07764952780693;3812;2557;20015
