Mois;Ligne;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivés à Bruxelles avec moins de 6 min. de retard;Minutes de retard
2018-11;162;Ochtendspits;Pointe du matin;Morning peak hour;65.85365853658537;82;54;583
2018-11;162;Daluren;Heures creuses;Off-peak hours;85.76388888888889;288;247;992
2018-12;25-27;Avondspits;Pointe du soir;Evening peak hour;86.06356968215158;409;352;1235
2018-12;25-27;Daluren;Heures creuses;Off-peak hours;88.0;1525;1342;3518
2018-12;36-36C;Avondspits;Pointe du soir;Evening peak hour;92.21789883268482;771;711;1380
2018-12;50A;Avondspits;Pointe du soir;Evening peak hour;94.11764705882352;357;336;468
2018-12;50A;Weekends;Weekends;Weekends;93.49240780911063;922;862;1191
2018-12;50;Ochtendspits;Pointe du matin;Morning peak hour;85.41666666666666;96;82;272
2018-12;50;Daluren;Heures creuses;Off-peak hours;98.32635983263597;239;235;265
2018-12;60;Ochtendspits;Pointe du matin;Morning peak hour;81.99052132701422;211;173;587
2018-12;89;Weekends;Weekends;Weekends;91.80327868852459;183;168;292
2018-12;161;Ochtendspits;Pointe du matin;Morning peak hour;70.83333333333334;216;153;1138
2018-12;161;Weekends;Weekends;Weekends;94.01709401709401;351;330;495
2018-12;162;Ochtendspits;Pointe du matin;Morning peak hour;67.94871794871796;78;53;432
2018-12;162;Avondspits;Pointe du soir;Evening peak hour;89.65517241379311;58;52;214
2019-01;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;82.09745762711864;944;775;2972
2019-01;36-36C;Weekends;Weekends;Weekends;93.0200414651002;1447;1346;2804
2019-01;36-36C;Daluren;Heures creuses;Off-peak hours;91.46737525834071;3387;3098;6682
2019-01;50A;Weekends;Weekends;Weekends;96.58344283837057;761;735;687
2019-01;50;Avondspits;Pointe du soir;Evening peak hour;95.45454545454545;66;63;104
2019-01;60;Daluren;Heures creuses;Off-peak hours;94.37869822485207;676;638;974
2019-01;89;Daluren;Heures creuses;Off-peak hours;95.96330275229357;545;523;749
2019-01;94;Ochtendspits;Pointe du matin;Morning peak hour;71.29032258064515;310;221;1246
2019-01;94;Avondspits;Pointe du soir;Evening peak hour;81.18279569892472;186;151;543
2019-01;124;Ochtendspits;Pointe du matin;Morning peak hour;72.87066246056783;317;231;1343
2019-01;124;Avondspits;Pointe du soir;Evening peak hour;91.6030534351145;262;240;422
2019-01;124;Weekends;Weekends;Weekends;94.6524064171123;374;354;538
2019-01;124;Daluren;Heures creuses;Off-peak hours;94.9064449064449;962;913;1146
2019-01;161;Ochtendspits;Pointe du matin;Morning peak hour;70.08547008547008;234;164;1163
2019-01;161;Avondspits;Pointe du soir;Evening peak hour;81.02564102564102;195;158;643
2019-01;162;Ochtendspits;Pointe du matin;Morning peak hour;64.36781609195403;87;56;620
2019-01;162;Avondspits;Pointe du soir;Evening peak hour;92.3076923076923;65;60;146
2019-01;162;Weekends;Weekends;Weekends;91.6083916083916;143;131;353
2019-02;25-27;Avondspits;Pointe du soir;Evening peak hour;85.3598015;403;344;1174
2019-02;25-27;Weekends;Weekends;Weekends;90.04149380000001;482;434;891
2019-02;25-27;Daluren;Heures creuses;Off-peak hours;85.0398936;1504;1279;4226
2019-02;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;87.3820755;848;741;2293
2019-02;50A;Ochtendspits;Pointe du matin;Morning peak hour;91.56193900000001;557;510;1138
2019-02;50A;Daluren;Heures creuses;Off-peak hours;95.46109510000001;1388;1325;1745
2019-02;60;Ochtendspits;Pointe du matin;Morning peak hour;83.7209302;215;180;623
2019-02;89;Avondspits;Pointe du soir;Evening peak hour;94.9579832;119;113;180
2019-02;89;Weekends;Weekends;Weekends;88.9705882;136;121;261
2019-02;89;Daluren;Heures creuses;Off-peak hours;97.1134021;485;471;696
2019-02;94;Ochtendspits;Pointe du matin;Morning peak hour;73.4545455;275;202;1167
2019-02;94;Avondspits;Pointe du soir;Evening peak hour;83.8150289;173;145;539
2019-02;124;Weekends;Weekends;Weekends;95.61403510000001;342;327;399
2019-02;162;Ochtendspits;Pointe du matin;Morning peak hour;71.4285714;77;55;398
2019-02;162;Avondspits;Pointe du soir;Evening peak hour;85.0;60;51;224
2019-03;25-27;Avondspits;Pointe du soir;Evening peak hour;88.73239436619718;426;378;1006
2019-03;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;89.55866523143165;929;832;1879
2019-03;50A;Ochtendspits;Pointe du matin;Morning peak hour;91.84692179700498;601;552;1081
2019-03;50A;Avondspits;Pointe du soir;Evening peak hour;96.55172413793103;377;364;441
2019-03;89;Ochtendspits;Pointe du matin;Morning peak hour;91.48148148148148;270;247;522
2019-03;89;Avondspits;Pointe du soir;Evening peak hour;92.0;125;115;248
2019-03;89;Weekends;Weekends;Weekends;96.31901840490798;163;157;287
2019-03;89;Daluren;Heures creuses;Off-peak hours;96.1612284069098;521;501;592
2019-03;94;Ochtendspits;Pointe du matin;Morning peak hour;79.80456026058633;307;245;1168
2019-03;161;Ochtendspits;Pointe du matin;Morning peak hour;80.08849557522124;226;181;881
2019-04;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;91.47025813692481;891;815;1906
2019-04;36-36C;Daluren;Heures creuses;Off-peak hours;92.13205800678803;3241;2986;6002
2019-04;50A;Weekends;Weekends;Weekends;96.32063074901446;761;733;719
2019-04;50;Avondspits;Pointe du soir;Evening peak hour;95.23809523809523;63;60;147
2019-04;50;Weekends;Weekends;Weekends;98.75776397515527;161;159;176
2019-04;60;Avondspits;Pointe du soir;Evening peak hour;90.9090909090909;187;170;394
2019-04;60;Daluren;Heures creuses;Off-peak hours;94.92307692307692;650;617;800
