Mois;Gare;Prévues;Assurées;Pourcentage de correspondances assurées
2016-01;ANTWERPEN-CENTRAAL;32459;29622;91.2597430604763
2016-01;CHARLEROI-SUD;15534;14320;92.18488476889404
2016-01;ZOTTEGEM;5934;5327;89.77081226828446
2016-02;CHARLEROI-SUD;17292;16102;93.11820495026602
2016-02;GENT-SINT-PIETERS;48343;43571;90.12887077756862
2016-02;MECHELEN;42994;40027;93.0990370749407
2016-02;NAMUR;17983;16574;92.16482233220263
2016-03;BRUGGE;18545;17775;95.8479374494473
2016-03;LEUVEN;39764;36591;92.02042048083695
2016-03;LIEGE-GUILLEMINS;33165;29833;89.95326398311472
2016-03;ZOTTEGEM;6067;5522;91.01697708917092
2016-04;BRUGGE;17978;17315;96.31215930581823
2016-04;CHARLEROI-SUD;17168;15713;91.52493010251631
2016-04;LEUVEN;38860;35929;92.45753988677303
2016-04;ZOTTEGEM;5549;5045;90.91728239322401
2016-05;BRUGGE;17161;16130;93.99219159722627
2016-05;GENT-SINT-PIETERS;47098;42167;89.53034099112489
2016-05;LEUVEN;33497;30739;91.76642684419501
2016-05;LIEGE-GUILLEMINS;26633;23995;90.09499493110052
2016-05;NAMUR;14031;12683;90.39270187442092
2016-06;BRUGGE;19262;18019;93.54687986709584
2016-06;LEUVEN;36759;32966;89.6814385592644
2016-06;NAMUR;15305;11927;77.92878144397257
2016-07;BRUGGE;22750;21985;96.63736263736263
2016-07;LIEGE-GUILLEMINS;30716;27838;90.63029040239614
2016-07;MECHELEN;37697;35451;94.04196620420723
2016-07;NAMUR;16120;14389;89.26178660049628
2016-08;GENT-SINT-PIETERS;52704;49015;93.0005312689739
2016-08;LIEGE-GUILLEMINS;28820;25809;89.55239417071478
2016-08;MONS;7825;7253;92.69009584664538
2016-08;ZOTTEGEM;5336;4930;92.3913043478261
2016-09;CHARLEROI-SUD;17877;15972;89.34384963920121
2016-09;LIEGE-GUILLEMINS;33662;30139;89.53419285841602
2016-10;LEUVEN;38844;34265;88.21182164555658
2016-10;MONS;8311;7111;85.56130429551197
2016-10;ZOTTEGEM;5850;5159;88.1880341880342
2016-11;ANTWERPEN-CENTRAAL;32361;28564;88.26674083001144
2016-11;CHARLEROI-SUD;16706;14639;87.62719980845205
2016-11;MONS;7706;6335;82.2086685699455
2016-12;BRUGGE;18673;17757;95.09452150163338
2016-12;MONS;8744;8105;92.69213174748398
2017-01;GENT-SINT-PIETERS;50427;45897;91.01671723481468
2017-01;ZOTTEGEM;5933;5510;92.87038597674027
2017-02;ANTWERPEN-CENTRAAL;32675;29651;90.7452180566182
2017-02;BRUGGE;16261;15294;94.05325625730275
2017-02;CHARLEROI-SUD;16509;15343;92.93718577745473
2017-02;GENT-SINT-PIETERS;45737;41391;90.49784638257866
2017-02;MONS;8250;7733;93.73333333333333
2017-02;NAMUR;17917;15719;87.73232125913937
2017-02;ZOTTEGEM;5672;5383;94.90479548660085
2017-03;CHARLEROI-SUD;18621;17298;92.89511841469309
2017-03;LIEGE-GUILLEMINS;34217;30433;88.94116959406144
2017-04;LEUVEN;37643;34890;92.68655526923996
2017-04;NAMUR;17150;15585;90.87463556851311
2017-05;BRUGGE;19230;18180;94.53978159126365
2017-05;NAMUR;19021;15693;82.50354870932128
2017-06;CHARLEROI-SUD;16644;14969;89.93631338620524
2017-06;MECHELEN;37637;34568;91.84579004702819
2017-07;GENT-SINT-PIETERS;50075;46310;92.48127808287569
2017-08;GENT-SINT-PIETERS;50907;47335;92.9832832419903
2017-08;LIEGE-GUILLEMINS;30158;27561;91.388686252404
2017-08;MECHELEN;38733;36818;95.05589548963415
2017-08;ZOTTEGEM;5293;5108;96.50481768373324
2017-09;MONS;8771;7974;90.91323680310113
2017-09;ZOTTEGEM;5775;5330;92.2943722943723
2017-10;CHARLEROI-SUD;16463;14226;86.41195407884346
2017-10;LIEGE-GUILLEMINS;32720;27286;83.39242053789732
2017-10;ZOTTEGEM;6032;5561;92.19164456233422
2017-11;MECHELEN;40229;36304;90.24335678242065
2017-11;NAMUR;16754;13293;79.342246627671
2017-12;ANTWERPEN-CENTRAAL;51652;45661;88.40122357314334
2017-12;BRUGGE;16212;15063;92.91265729089562
2017-12;CHARLEROI-SUD;15928;14079;88.39151180311401
2017-12;GENT-SINT-PIETERS;52977;47391;89.45580157426808
2017-12;LEUVEN;40996;36020;87.86223046150845
2017-12;LIEGE-GUILLEMINS;31507;26765;84.94937632906972
2017-12;MONS;9717;8649;89.00895338067305
2018-01;LEUVEN;42973;38815;90.32415702883205
2018-01;LIEGE-GUILLEMINS;32956;29165;88.49678359024153
2018-02;CHARLEROI-SUD;16080;14465;89.95646766169155
2018-02;MECHELEN;36993;33216;89.78996026275242
2018-03;CHARLEROI-SUD;18479;16841;91.13588397640565
2018-03;MECHELEN;41464;38168;92.05093575149527
2018-03;MONS;11322;10353;91.44144144144144
2018-03;ZOTTEGEM;7183;6755;94.04148684393707
2018-04;BRUGGE;15973;14956;93.63300569711387
2018-04;LEUVEN;37190;33527;90.1505781123958
2018-04;MECHELEN;38463;35570;92.47848581753894
2018-05;MECHELEN;41383;36344;87.82350240436895
2018-05;NAMUR;22959;20594;89.69902870334073
2018-06;LIEGE-GUILLEMINS;31755;26008;81.90206266729649
2018-06;MECHELEN;40149;35923;89.47420857306533
2018-07;BRUGGE;20113;18650;92.72609754884901
2018-07;CHARLEROI-SUD;15804;14358;90.85041761579346
2018-07;LIEGE-GUILLEMINS;32425;28007;86.37471087124132
2018-07;NAMUR;20984;18628;88.77239801753717
2018-07;ZOTTEGEM;5536;5233;94.52673410404624
2018-08;ANTWERPEN-CENTRAAL;51536;46535;90.29610369450481
2018-08;BRUGGE;21715;20629;94.9988487220815
2018-08;CHARLEROI-SUD;15662;14362;91.69965521644745
2018-08;GENT-SINT-PIETERS;57454;53718;93.49740662094894
2018-08;LEUVEN;42176;38888;92.2040971168437
2018-09;ANTWERPEN-CENTRAAL;51625;47141;91.31428571428572
2018-10;BRUGGE;16246;14970;92.14575895605071
2018-10;CHARLEROI-SUD;18884;16922;89.61025206524042
2018-10;GENT-SINT-PIETERS;59908;53802;89.80770514789343
2018-10;LIEGE-GUILLEMINS;34192;27166;79.45133364529715
2018-10;MONS;11316;9972;88.12301166489925
2018-10;NAMUR;25662;22177;86.4196087600343
2018-11;ANTWERPEN-CENTRAAL;51761;46208;89.27184559803713
2018-11;BRUGGE;15182;13826;91.06837043867738
2018-11;LEUVEN;40374;35398;87.67523653836628
2018-11;MECHELEN;39792;35339;88.80930840369923
2018-12;ANTWERPEN-CENTRAAL;49872;45069;90.36934552454284
2018-12;BRUGGE;16269;15546;95.5559653328416
2018-12;LEUVEN;40454;37248;92.07494932515944
2018-12;LIEGE-GUILLEMINS;33072;29437;89.00882922109338
2018-12;MECHELEN;38419;35223;91.68119940654364
2019-01;LEUVEN;42707;39243;91.88891750766854
2019-01;ZOTTEGEM;6945;6628;95.43556515478761
2019-02;BRUGGE;14813;14162;95.6052116384257
2019-02;LEUVEN;38475;35404;92.01819363222872
2019-02;LIEGE-GUILLEMINS;30121;27269;90.53152285780685
2019-02;MECHELEN;36413;33032;90.71485458490099
